organization,portal_url,eap_scope_index,ssids,eap_methods,anonymous_identity_state,anonymous_identity_values,outer_identity_state,outer_identity_values,server_validation,server_names,source_url,evidence_id
University of South Florida,https://cloud.securew2.com/public/69628/eduroam/,1,eduroam,TLS,absent,,absent,,true,radius.net.usf.edu,https://cloud.securew2.com/public/69628/eduroam/android/SecureW2.cloudconfig,cd6404ceed488caf
University at Buffalo,https://cloud.securew2.com/public/64546/eduroam-tls/,1,eduroam,TLS,absent,,absent,,true,*.cit.buffalo.edu,https://cloud.securew2.com/public/64546/eduroam-tls/android/SecureW2.cloudconfig,6b688043be12ecad
Georgia Institute of Technology,https://cloud.securew2.com/public/38680/eduroam/,1,eduroam,TLS,configured,anonymous@gatech.edu,absent,,true,lawn.gatech.edu,https://cloud.securew2.com/public/38680/eduroam/android/SecureW2.cloudconfig,740d84a8a69580ce
University of Maryland,https://cloud.securew2.com/public/76190/eduroam-byod-tls/,1,eduroam,TLS,absent,,absent,,true,wireless.umd.edu,https://cloud.securew2.com/public/76190/eduroam-byod-tls/android/SecureW2.cloudconfig,73ac424316052485
University of Maryland,https://cloud.securew2.com/public/76190/eduroam-byod-tls/,2,,TLS,absent,,absent,,true,wireless.umd.edu,https://cloud.securew2.com/public/76190/eduroam-byod-tls/android/SecureW2.cloudconfig,73ac424316052485
The University of Edinburgh,https://cloud.securew2.com/public/23114/eduroam/,1,eduroam,PEAP,absent,,absent,,true,radius01.is.ed.ac.uk,https://cloud.securew2.com/public/23114/eduroam/android/SecureW2.cloudconfig,27a2603a9196075b
Columbia University,https://cloud.securew2.com/public/28503/Columbia_U_Secure_-_eduroam_-_TLS/,1,Columbia U Secure,TLS,absent,,absent,,true,radius.cc.columbia.edu,https://cloud.securew2.com/public/28503/Columbia_U_Secure_-_eduroam_-_TLS/android/SecureW2.cloudconfig,4810261b9d2e3108
Columbia University,https://cloud.securew2.com/public/28503/Columbia_U_Secure_-_eduroam_-_TLS/,2,eduroam,TLS,absent,,absent,,true,radius.cc.columbia.edu,https://cloud.securew2.com/public/28503/Columbia_U_Secure_-_eduroam_-_TLS/android/SecureW2.cloudconfig,4810261b9d2e3108
Cornell University,https://cloud.securew2.com/public/20864/eduroam/,1,eduroam,TLS,absent,,absent,,true,network-access.it.cornell.edu,https://cloud.securew2.com/public/20864/eduroam/android/SecureW2.cloudconfig,7dd71add61280ad7
Montgomery County Community College,https://cloud.securew2.com/public/61572/eduroam/,1,eduroam,PEAP,absent,,absent,,false,,https://cloud.securew2.com/public/61572/eduroam/android/SecureW2.cloudconfig,1b0971a657c0490b
California State University Long Beach,https://cloud.securew2.com/public/93210/eduroam/,1,eduroam,TLS,absent,,absent,,true,wifi-portal.its.csulb.edu,https://cloud.securew2.com/public/93210/eduroam/android/SecureW2.cloudconfig,d6a287922f93b838
Purdue University,https://cloud.securew2.com/public/62946/wl-prd-eduroam/,1,eduroam,PEAP,absent,,absent,,true,dbm.i2a2.purdue.edu;iseservers.pfw.edu;iseservers.pnw.edu;radius.tcom.purdue.edu,https://cloud.securew2.com/public/62946/wl-prd-eduroam/android/SecureW2.cloudconfig,8daf86708f7e0c39
William & Mary,https://cloud.securew2.com/public/87156/eduroam/,1,eduroam,TLS,absent,,absent,,true,wireless.wm.edu,https://cloud.securew2.com/public/87156/eduroam/android/SecureW2.cloudconfig,12c0504c23132958
California State University Fresno,https://cloud.securew2.com/public/78509/eduroam/,1,eduroam,TTLS,absent,,absent,,true,cp.fresnostate.edu,https://cloud.securew2.com/public/78509/eduroam/android/SecureW2.cloudconfig,dfd29213c9993cea
"California State Polytechnic University, Pomona",https://cloud.securew2.com/public/93050/eduroam/,1,eduroam,TLS,absent,,absent,,true,radius.cpp.edu,https://cloud.securew2.com/public/93050/eduroam/android/SecureW2.cloudconfig,c29232edaa10c780
Binghamton University,https://cloud.securew2.com/public/54174/SectigoMigrate/,1,eduroam,PEAP,absent,,absent,,true,busecure.binghamton.edu,https://cloud.securew2.com/public/54174/SectigoMigrate/android/SecureW2.cloudconfig,23c76ba2bef226b7
University of Michigan Flint,https://cloud.securew2.com/public/41793/eduroam/,1,eduroam,PEAP,absent,,absent,,true,pf.umflint.edu,https://cloud.securew2.com/public/41793/eduroam/android/SecureW2.cloudconfig,1d1967c834080a6b
University of North Carolina - Greensboro,https://cloud.securew2.com/public/36422/eduroam-tls/,1,eduroam,TLS,absent,,absent,,true,arubacp.uncg.edu,https://cloud.securew2.com/public/36422/eduroam-tls/android/SecureW2.cloudconfig,04dbc45fcfd99cf9
University of Oregon,https://cloud.securew2.com/public/49980/UO_Secure/,1,UO Secure,PEAP,absent,,absent,,true,*.uoregon.edu,https://cloud.securew2.com/public/49980/UO_Secure/android/SecureW2.cloudconfig,91e3d50f54b6d497
University of Oregon,https://cloud.securew2.com/public/49980/UO_Secure/,2,eduroam,PEAP,absent,,absent,,true,*.uoregon.edu,https://cloud.securew2.com/public/49980/UO_Secure/android/SecureW2.cloudconfig,91e3d50f54b6d497
North Carolina State University,https://cloud.securew2.com/public/12117/eduroam/,1,eduroam,TLS,absent,,absent,,true,eduroam00.comtech.ncsu.edu,https://cloud.securew2.com/public/12117/eduroam/android/SecureW2.cloudconfig,f36d1cb87a1f2988
Purdue University,https://cloud.securew2.com/public/62946/wl-prd-PAL3.0/,1,PAL3.0,PEAP,absent,,absent,,true,dbm.i2a2.purdue.edu;iseservers.pfw.edu;iseservers.pnw.edu;radius.tcom.purdue.edu,https://cloud.securew2.com/public/62946/wl-prd-PAL3.0/android/SecureW2.cloudconfig,b10566c60efa8cea
University of Kent,https://cloud.securew2.com/public/11085/eduroam/,1,eduroam,PEAP,absent,,absent,,true,wifi.kent.ac.uk,https://cloud.securew2.com/public/11085/eduroam/android/SecureW2.cloudconfig,7836cf3e02551d61
University of Kent,https://cloud.securew2.com/public/11085/eduroam/,2,,PEAP,absent,,absent,,true,wifi.kent.ac.uk,https://cloud.securew2.com/public/11085/eduroam/android/SecureW2.cloudconfig,7836cf3e02551d61
Florida Gulf Coast University,https://cloud.securew2.com/public/00457/eduroam/,1,eduroam,TLS,absent,,absent,,true,FGCU-Radius03.primary.ad.fgcu.edu,https://cloud.securew2.com/public/00457/eduroam/android/SecureW2.cloudconfig,ed51e4a0ec2d6706
Liberty University,https://cloud.securew2.com/public/46449/eduroam/,1,eduroam,TLS,configured,@liberty.edu,absent,,true,*.liberty.edu;LUACP01.University.liberty.edu,https://cloud.securew2.com/public/46449/eduroam/android/SecureW2.cloudconfig,30fff0d83a918e78
University of Pennsylvania,https://cloud.securew2.com/public/29559/eduroam/,1,eduroam,TLS,absent,,absent,,true,noc1.dccs.upenn.edu,https://cloud.securew2.com/public/29559/eduroam/android/SecureW2.cloudconfig,da423926a825b8ad
Michigan State University,https://cloud.securew2.com/public/21218/eduroam_802.1x/,1,eduroam,TLS,absent,,absent,,true,wireless.auth.msu.edu,https://cloud.securew2.com/public/21218/eduroam_802.1x/android/SecureW2.cloudconfig,770f47c05a44bc71
Texas A&M University,https://cloud.securew2.com/public/05075/TAMU_WiFi/,1,TAMU_WiFi,TLS,absent,,absent,,true,net.tamu.edu,https://cloud.securew2.com/public/05075/TAMU_WiFi/android/SecureW2.cloudconfig,543e9c64be38fa65
Snow College,https://cloud.securew2.com/public/98609/Eduroam/,1,eduroam,TLS,absent,,absent,,true,eduroam.snow.edu,https://cloud.securew2.com/public/98609/Eduroam/android/SecureW2.cloudconfig,de051231c60a028d
Florida Southern College,https://cloud.securew2.com/public/78036/FSC_Portal_ID/,1,FSC Campus Wireless,TTLS,absent,,absent,,true,portal.myweblogon.com,https://cloud.securew2.com/public/78036/FSC_Portal_ID/android/SecureW2.cloudconfig,c32596a5ab938cff
Heriot-Watt University,https://cloud.securew2.com/public/12133/eduroam/,1,eduroam,PEAP,absent,,absent,,true,eduroam.hw.ac.uk,https://cloud.securew2.com/public/12133/eduroam/android/SecureW2.cloudconfig,a759b2a9374d0676
University of Southern Queensland,https://cloud.securew2.com/public/15944/EDUROAM-TEST/,1,eduroam,PEAP,absent,,absent,,true,ise-k6-adm-t1.usq.edu.au,https://cloud.securew2.com/public/15944/EDUROAM-TEST/android/SecureW2.cloudconfig,eb354e476c5eb0a0
University of Colorado Boulder,https://cloud.securew2.com/public/41406/eduroam/,1,eduroam,PEAP,absent,,absent,,true,dot1x.colorado.edu,https://cloud.securew2.com/public/41406/eduroam/android/SecureW2.cloudconfig,aa12014c9cfca11a
Minnesota State Community and Technical College,https://cloud.securew2.com/public/32753/StuLAN/,1,StuLAN,TTLS,absent,,absent,,false,,https://cloud.securew2.com/public/32753/StuLAN/android/SecureW2.cloudconfig,ec6e504d8a24e70b
Leeds Trinity University,https://cloud.securew2.com/public/75254/eduroam/,1,eduroam,PEAP,absent,,absent,,true,eduroam.leedstrinity.ac.uk,https://cloud.securew2.com/public/75254/eduroam/android/SecureW2.cloudconfig,33658e4210f99e22
Purdue University,https://cloud.securew2.com/public/62946/fw-prd-Purdue_Fort_Wayne/,1,Purdue Fort Wayne,PEAP,absent,,absent,,true,*.pfw.edu,https://cloud.securew2.com/public/62946/fw-prd-Purdue_Fort_Wayne/android/SecureW2.cloudconfig,cbb3f79887ed85db
Purdue University,https://cloud.securew2.com/public/62946/fw-prd-eduroam/,1,eduroam,PEAP,absent,,absent,,true,dbm.i2a2.purdue.edu;iseservers.pfw.edu;iseservers.pnw.edu;radius.tcom.purdue.edu,https://cloud.securew2.com/public/62946/fw-prd-eduroam/android/SecureW2.cloudconfig,01556337d83eaeea
University of Nevada Las Vegas,https://cloud.securew2.com/public/08514/eduroam/,1,eduroam,TLS,absent,,absent,,true,wifi.net.unlv.edu,https://cloud.securew2.com/public/08514/eduroam/android/SecureW2.cloudconfig,eede0bd1157cf6d8
University of Dayton,https://cloud.securew2.com/public/52864/eduroam/,1,eduroam,PEAP,absent,,absent,,true,radius1.servers.udayton.edu,https://cloud.securew2.com/public/52864/eduroam/android/SecureW2.cloudconfig,8e6fe82ba187a4a1
SIUE,https://cloud.securew2.com/public/54488/SIUE-eduroam-TLS/,1,eduroam,TLS,absent,,absent,,true,itsnpas1.isg.siue.edu;itsnpas2.isg.siue.edu;itsnpas1.campus.siue.edu;itsnpas2.campus.siue.edu;itsnpas3.isg.siue.edu;itsnpas3.campus.siue.edu;itsnpas4.isg.siue.edu;itsnpas4.campus.siue.edu,https://cloud.securew2.com/public/54488/SIUE-eduroam-TLS/android/SecureW2.cloudconfig,8f84eacd61ea390d
Deakin University,https://cloud.securew2.com/public/81205/Deakin_Eduroam/,1,eduroam,PEAP,absent,,absent,,true,eduroam.deakin.edu.au,https://cloud.securew2.com/public/81205/Deakin_Eduroam/android/SecureW2.cloudconfig,1694ec1a8e9e89cc
Edith Cowan University,https://cloud.securew2.com/public/74198/eduroam/,1,eduroam,TLS,absent,,absent,,true,nps-jo-p1.ads.ecu.edu.au;nps-ml-p1.ads.ecu.edu.au;eduroam.ecu.edu.au;netauth.ecu.edu.au,https://cloud.securew2.com/public/74198/eduroam/android/SecureW2.cloudconfig,ea7e7ade327b7b84
University of Pennsylvania,https://cloud.securew2.com/public/29559/AirPennNet_TLS/,1,AirPennNet,TLS,absent,,absent,,true,noc1.dccs.upenn.edu,https://cloud.securew2.com/public/29559/AirPennNet_TLS/android/SecureW2.cloudconfig,a49cb5f8afd3c38a
Salisbury University,https://cloud.securew2.com/public/13917/Personally_Owned_Device/,1,SU-Secure,PEAP,absent,,absent,,true,*.salisbury.edu,https://cloud.securew2.com/public/13917/Personally_Owned_Device/android/SecureW2.cloudconfig,abfaad5613f29daf
Pennsylvania State University,https://cloud.securew2.com/public/74639/byod-tls/,1,eduroam,TLS,absent,,absent,,true,radius1.aset.psu.edu,https://cloud.securew2.com/public/74639/byod-tls/android/SecureW2.cloudconfig,1f6c3f156e063f6c
Winona State University,https://cloud.securew2.com/public/02770/WSU/,1,WSU,TLS,absent,,absent,,true,*.mist.com,https://cloud.securew2.com/public/02770/WSU/android/SecureW2.cloudconfig,3cf1b9408a2edc6b
Utah Valley University,https://cloud.securew2.com/public/72227/eduroam-profile/,1,eduroam,TLS,absent,,absent,,true,wifisecure.net.uvu.edu,https://cloud.securew2.com/public/72227/eduroam-profile/android/SecureW2.cloudconfig,4015e92a404b3b82
La Trobe University,https://cloud.securew2.com/public/86576/eduroam_TLS/,1,eduroam,TLS,absent,,absent,,true,*.latrobe.edu.au,https://cloud.securew2.com/public/86576/eduroam_TLS/android/SecureW2.cloudconfig,bca0460388ea55e3
California State University Sacramento,https://cloud.securew2.com/public/75808/eduroam/,1,eduroam,PEAP,absent,,absent,,true,*.netauth.csus.edu,https://cloud.securew2.com/public/75808/eduroam/android/SecureW2.cloudconfig,d0c79b3f5acbdb4a
Illinois State University,https://cloud.securew2.com/public/96262/eduroam/,1,eduroam,TLS,absent,,absent,,true,wireless.ilstu.edu,https://cloud.securew2.com/public/96262/eduroam/android/SecureW2.cloudconfig,6dea8502c3b89a42
Princeton University,https://cloud.securew2.com/public/46346/Princeton-WiFi-Onboard/,1,eduroam,TLS,absent,,absent,,true,*.princeton.edu,https://cloud.securew2.com/public/46346/Princeton-WiFi-Onboard/android/SecureW2.cloudconfig,f1507e4c920d26fc
Algonquin College,https://cloud.securew2.com/public/24618/ACSecure/,1,ACSecure,PEAP,absent,,absent,,true,wirelesslogin.algonquincollege.com,https://cloud.securew2.com/public/24618/ACSecure/android/SecureW2.cloudconfig,f435c73e78733351
Angelo State University,https://cloud.securew2.com/public/19436/secure.angelo.edu/,1,secure.angelo.edu,PEAP,absent,,absent,,true,ise-psn01.angelo.edu;ise-psn02.angelo.edu;ise-psn03.angelo.edu,https://cloud.securew2.com/public/19436/secure.angelo.edu/android/SecureW2.cloudconfig,bf743b143a998d63
Harvard University,https://cloud.securew2.com/public/23531/Wireless_-_Harvard_Secure_and_eduroam_(TLS)/,1,Harvard Secure,TLS,absent,,absent,,true,*.noc.harvard.edu,https://cloud.securew2.com/public/23531/Wireless_-_Harvard_Secure_and_eduroam_(TLS)/android/SecureW2.cloudconfig,973b760a1e2f7003
Harvard University,https://cloud.securew2.com/public/23531/Wireless_-_Harvard_Secure_and_eduroam_(TLS)/,2,eduroam,TLS,absent,,absent,,true,*.noc.harvard.edu,https://cloud.securew2.com/public/23531/Wireless_-_Harvard_Secure_and_eduroam_(TLS)/android/SecureW2.cloudconfig,973b760a1e2f7003
Christopher Newport University,https://cloud.securew2.com/public/12068/eduroam/,1,eduroam,TLS,absent,,absent,,true,cppmpub.cnuadmin.cnu.edu,https://cloud.securew2.com/public/12068/eduroam/android/SecureW2.cloudconfig,80d1f1e807e5c746
Utah State University,https://cloud.securew2.com/public/49984/USU/,1,eduroam,TLS,absent,,absent,,true,eduroam.usu.edu,https://cloud.securew2.com/public/49984/USU/android/SecureW2.cloudconfig,6b468045e97e23a9
Universiteit van Amsterdam,https://cloud.securew2.com/public/40655/uva/,1,eduroam,PEAP,configured,anonymous@uva.nl,absent,,true,radius.uva.nl,https://cloud.securew2.com/public/40655/uva/android/SecureW2.cloudconfig,21be12158c75cfd6
Binghamton University,https://cloud.securew2.com/public/54174/eduroam/,1,eduroam,PEAP,absent,,absent,,true,busecure.binghamton.edu,https://cloud.securew2.com/public/54174/eduroam/android/SecureW2.cloudconfig,bd6b2dbe2dbf74f8
University of San Francisco,https://cloud.securew2.com/public/54994/USF_Wireless/,1,USF-Wireless,PEAP,absent,,absent,,true,*.usfca.edu,https://cloud.securew2.com/public/54994/USF_Wireless/android/SecureW2.cloudconfig,5976dc218ae730c2
Queens University Belfast,https://cloud.securew2.com/public/69366/QWiFi-e/,1,eduroam,PEAP,absent,,absent,,true,cwradius.qub.ac.uk,https://cloud.securew2.com/public/69366/QWiFi-e/android/SecureW2.cloudconfig,6bad363a371214ff
Queens University Belfast,https://cloud.securew2.com/public/69366/QWiFi-e/,2,_QUB_WiFi,PEAP,absent,,absent,,true,cwradius.qub.ac.uk,https://cloud.securew2.com/public/69366/QWiFi-e/android/SecureW2.cloudconfig,6bad363a371214ff
University of Chicago,https://cloud.securew2.com/public/41155/eduroam-peap-clearpass/,1,eduroam,PEAP,absent,,absent,,true,*.uchicago.edu,https://cloud.securew2.com/public/41155/eduroam-peap-clearpass/android/SecureW2.cloudconfig,da317390ae01e42c
California State University Fullerton,https://cloud.securew2.com/public/14819/eduroam/,1,eduroam,PEAP,absent,,absent,,true,*.fullerton.edu,https://cloud.securew2.com/public/14819/eduroam/android/SecureW2.cloudconfig,4707ab86974d3790
University of Florida,https://cloud.securew2.com/public/53414/UF_Wireless_Setup/,1,eduroam,PEAP,absent,,absent,,true,uf-dot1x.ufl.edu,https://cloud.securew2.com/public/53414/UF_Wireless_Setup/android/SecureW2.cloudconfig,9f9bfc268487ec63
University of Notre Dame,https://cloud.securew2.com/public/18738/eduroam/,1,eduroam,PEAP,absent,,absent,,true,*.nd.edu,https://cloud.securew2.com/public/18738/eduroam/android/SecureW2.cloudconfig,3a7e3f9c120c66a0
University of Minnesota Duluth,https://cloud.securew2.com/public/57347/eduroam/,1,eduroam,PEAP,absent,,absent,,true,eduroam.netaccess.umn.edu,https://cloud.securew2.com/public/57347/eduroam/android/SecureW2.cloudconfig,afab6615b6341cdc
University of Notre Dame,https://cloud.securew2.com/public/18738/ND-secure/,1,ND-secure,PEAP,absent,,absent,,true,*.nd.edu,https://cloud.securew2.com/public/18738/ND-secure/android/SecureW2.cloudconfig,3c3bda169eb9dfc1
University of Notre Dame,https://cloud.securew2.com/public/18738/ND-secure/,2,eduroam,PEAP,absent,,absent,,true,*.nd.edu,https://cloud.securew2.com/public/18738/ND-secure/android/SecureW2.cloudconfig,3c3bda169eb9dfc1
Metropolitan State University of Denver,https://cloud.securew2.com/public/42615/MSUDenver/,1,MSUDenver,PEAP,absent,,absent,,false,,https://cloud.securew2.com/public/42615/MSUDenver/android/SecureW2.cloudconfig,45513fe93f605507
Capital University,https://cloud.securew2.com/public/16101/Capital-StudentOther/,1,Cap-StudentMobile,PEAP,absent,,absent,,true,*.capital.edu,https://cloud.securew2.com/public/16101/Capital-StudentOther/android/SecureW2.cloudconfig,17633101afe3252b
University of Newcastle,https://cloud.securew2.com/public/10577/newcastle.edu.au/,1,newcastle.edu.au,PEAP,absent,,absent,,true,*.newcastle.edu.au,https://cloud.securew2.com/public/10577/newcastle.edu.au/android/SecureW2.cloudconfig,4062e9bb580b8f31
University of Newcastle,https://cloud.securew2.com/public/10577/newcastle.edu.au/,2,,PEAP,absent,,absent,,true,*.newcastle.edu.au,https://cloud.securew2.com/public/10577/newcastle.edu.au/android/SecureW2.cloudconfig,4062e9bb580b8f31
Hogeschool van Amsterdam,https://cloud.securew2.com/public/23465/eduroam/,1,eduroam,PEAP,configured,anonymous@hva.nl,absent,,true,radius.hva.nl,https://cloud.securew2.com/public/23465/eduroam/android/SecureW2.cloudconfig,479080a738ff3d13
University of Leeds,https://cloud.securew2.com/public/26856/eduroam_(Central_Admin_users_only)/,1,eduroam,PEAP,absent,,absent,,true,radius.leeds.ac.uk,https://cloud.securew2.com/public/26856/eduroam_(Central_Admin_users_only)/android/SecureW2.cloudconfig,bbc955fd73d7cf99
University of Guelph-Humber,https://cloud.securew2.com/public/95677/ugh-wifi-secure/,1,UGH-WiFi-secure,PEAP,absent,,absent,,true,acs-annu.net.uoguelph.ca,https://cloud.securew2.com/public/95677/ugh-wifi-secure/android/SecureW2.cloudconfig,8bdb1d2fcc34706e
University of Cologne,https://cloud.securew2.com/public/83387/eduroam/,1,eduroam,PEAP,configured,eduroam2026@uni-koeln.de,absent,,true,radius.uni-koeln.de,https://cloud.securew2.com/public/83387/eduroam/android/SecureW2.cloudconfig,7c730e8b7f60a02b
California State University Fullerton,https://cloud.securew2.com/public/14819/CSUF-Titans/,1,CSUF-Titans,PEAP,absent,,absent,,true,,https://cloud.securew2.com/public/14819/CSUF-Titans/android/SecureW2.cloudconfig,b69867a6559ffa93
University of Guelph,https://cloud.securew2.com/public/85431/uog-wifi-secure/,1,uog-wifi-secure,PEAP,absent,,absent,,true,acs-annu.net.uoguelph.ca,https://cloud.securew2.com/public/85431/uog-wifi-secure/android/SecureW2.cloudconfig,6e7296e2a6b32263
Capital University,https://cloud.securew2.com/public/16101/Capital-StudentPC_TLS/,1,Cap-StudentPC,PEAP,absent,,absent,,true,*.capital.edu,https://cloud.securew2.com/public/16101/Capital-StudentPC_TLS/android/SecureW2.cloudconfig,de774e32937d84bb
Capital University,https://cloud.securew2.com/public/16101/Capital-StudentPC_TLS/,2,Capital-StudentPC,TLS,absent,,absent,,true,*.capital.edu,https://cloud.securew2.com/public/16101/Capital-StudentPC_TLS/android/SecureW2.cloudconfig,de774e32937d84bb
Vrije Universiteit Amsterdam,https://cloud.securew2.com/public/42012/VU-Wireless/,1,eduroam,PEAP,absent,,absent,,true,*.vu.nl,https://cloud.securew2.com/public/42012/VU-Wireless/android/SecureW2.cloudconfig,731c3266b10e7a42
Vrije Universiteit Amsterdam,https://cloud.securew2.com/public/42012/VU-Wireless/,2,VU-Campusnet,PEAP,absent,,absent,,true,*.vu.nl,https://cloud.securew2.com/public/42012/VU-Wireless/android/SecureW2.cloudconfig,731c3266b10e7a42
Vrije Universiteit Amsterdam,https://cloud.securew2.com/public/42012/VU-Wireless/,3,,PEAP,absent,,absent,,true,,https://cloud.securew2.com/public/42012/VU-Wireless/android/SecureW2.cloudconfig,731c3266b10e7a42
University of California - Santa Cruz,https://cloud.securew2.com/public/40809/eduroam/,1,eduroam,PEAP,absent,,absent,,true,wifiauth.ucsc.edu,https://cloud.securew2.com/public/40809/eduroam/android/SecureW2.cloudconfig,084ea1f6549bd3d5
Victoria College,https://cloud.securew2.com/public/58537/VC_WPA2/,1,VC-WPA2,PEAP,absent,,absent,,true,radproxystu.student.victoriacollege.edu;radproxystaff.victoriacollege.edu,https://cloud.securew2.com/public/58537/VC_WPA2/android/SecureW2.cloudconfig,40059f52b9666cd5
Universidad de Almeria,https://cloud.securew2.com/public/06491/eduroam/,1,eduroam,TTLS,configured,anonymous@ual.es,absent,,true,radius.ual.es,https://cloud.securew2.com/public/06491/eduroam/android/SecureW2.cloudconfig,aaf320cfc081255e
Nebraska Wesleyan University,https://cloud.securew2.com/public/42164/NWU-Wireless/,1,nwu-wireless,TTLS,absent,,absent,,true,rad.nebrwesleyan.edu,https://cloud.securew2.com/public/42164/NWU-Wireless/android/SecureW2.cloudconfig,674ec8c7b62926b4
Nebraska Wesleyan University,https://cloud.securew2.com/public/42164/NWU-Wireless/,2,nwu-wireless24,TTLS,absent,,absent,,true,rad.nebrwesleyan.edu,https://cloud.securew2.com/public/42164/NWU-Wireless/android/SecureW2.cloudconfig,674ec8c7b62926b4
Universidad de Almeria,https://cloud.securew2.com/public/06491/eduroam_wifi_2/,1,eduroam,TTLS,configured,anonymous@ual.es,absent,,true,radius.ual.es,https://cloud.securew2.com/public/06491/eduroam_wifi_2/android/SecureW2.cloudconfig,4d43c628c0c19b1a
Rutgers University,https://cloud.securew2.com/public/09325/RUWirelessSecure/,1,RUWireless Secure,TTLS,absent,,absent,,true,ise.ruw.rutgers.edu,https://cloud.securew2.com/public/09325/RUWirelessSecure/android/SecureW2.cloudconfig,1dc4102076bdcdde
Fachhochschule Südwestfalen,https://cloud.securew2.com/public/39802/eduroam_2016_allOS/,1,eduroam,TTLS,configured,anonymous@fh-swf.de,absent,,true,wlangate.fh-swf.de,https://cloud.securew2.com/public/39802/eduroam_2016_allOS/android/SecureW2.cloudconfig,4935cce5c75e9ff4
Berklee College of Music,https://cloud.securew2.com/public/17819/Berklee-Student/,1,Berklee-Student,TTLS,absent,,absent,,false,,https://cloud.securew2.com/public/17819/Berklee-Student/android/SecureW2.cloudconfig,c1ce6dee45e83d13
Ghent University,https://cloud.securew2.com/public/99183/eduroam_UGent/,1,eduroam,TTLS,configured,anonymous@UGent.be,absent,,true,ugrad.UGent.be,https://cloud.securew2.com/public/99183/eduroam_UGent/android/SecureW2.cloudconfig,44e0095619ec7933
North Dakota University System,https://cloud.securew2.com/public/32065/MaSU-EAP-TLS/,1,MaSU Secured,TLS,absent,,absent,,true,*.ndus.edu,https://cloud.securew2.com/public/32065/MaSU-EAP-TLS/android/SecureW2.cloudconfig,88f72202a00b8657
North Dakota University System,https://cloud.securew2.com/public/32065/VCSU-EAP-TLS/,1,VCSU Secure,TLS,absent,,absent,,true,*.ndus.edu,https://cloud.securew2.com/public/32065/VCSU-EAP-TLS/android/SecureW2.cloudconfig,bbfb47f8a9912342
